num.plants,stage,fate,plot,year.start
59,seed,small,9,1993
24,seed,medium,9,1993
0,seed,large1,9,1993
0,seed,large2,9,1993
32,small,dead,9,1993
7,small,small,9,1993
75,small,medium,9,1993
15,small,large1,9,1993
0,small,large2,9,1993
0,small,flower,9,1993
3,medium,dead,9,1993
1,medium,small,9,1993
18,medium,medium,9,1993
22,medium,large1,9,1993
6,medium,large2,9,1993
3,medium,flower,9,1993
0,large1,dead,9,1993
1,large1,small,9,1993
1,large1,medium,9,1993
14,large1,large1,9,1993
18,large1,large2,9,1993
3,large1,flower,9,1993
0,large2,dead,9,1993
1,large2,medium,9,1993
3,large2,large1,9,1993
5,large2,large2,9,1993
4,large2,flower,9,1993
16,flower,dead,9,1993
0,flower,large1,9,1993
0,flower,large2,9,1993
0,flower,flower,9,1993
